,flags,instruction,category,intent,response,preprocessed_instruction
0,BLZ,I can't talk with  a human agent,CONTACT,contact_human_agent,Thank you for reaching out! I'm sorry to hear that you're facing difficulties in connecting with a human agent. Please rest assured that I'm here to assist you and resolve this issue. Could you please provide me with some more details about the problem you're experiencing? This will help me find the best solution for you.,cant talk human agent
1,BLMZ,I have got to locate hte bills from {{Person Name}},INVOICE,check_invoice,"I'll get right on it! I understand your need to locate the bills associated with {{Person Name}}. To assist you in finding the relevant invoices, could you please provide me with some additional details such as the date range or any other specific information that might help narrow down the search? Rest assured, I'm here to guide you every step of the way and ensure a seamless experience.",get locate hte bill person name
2,BCELM,"I cannot pay, help me to inform of a problem with payments",PAYMENT,payment_issue,"I apologize for the inconvenience caused by the payment issue you're experiencing. I understand how frustrating it can be when you encounter difficulties while trying to make a payment. Rest assured, I'm here to assist you in resolving this problem. To help us further investigate and address the issue, could you please provide more details about the problem you are encountering? Any specific error messages or steps leading up to the issue would be helpful. Your input is valuable, and we're committed to finding a solution together. Thank you for bringing this to our attention, and we'll work diligently to get it sorted.",pay help inform problem payment
3,BL,I want help speaking to customer service,CONTACT,contact_customer_service,"Grateful for your contact! I get the sense that you're looking for assistance in speaking to our customer service team. I'm here to guide you through the process and ensure that you have a seamless experience. To connect with our customer service, you can reach them during {{Customer Support Hours}}. If you have any other questions, concerns, or experiences you'd like to share, please feel free to let me know. I'm here to help!",want help speak customer service
4,BLZ,I try to see th accepted payment options,PAYMENT,check_payment_methods,"Thank you for reaching out! I completely understand that you tried to access the accepted payment options on our platform. I apologize for any inconvenience caused. Allow me to assist you in viewing our available payment methods.

To check the accepted payment options, you can visit our website's ""Payment"" or ""Checkout"" page. There, you will find a comprehensive list of the various payment methods we accept. If you encounter any difficulties or have further questions, please don't hesitate to let me know.

Your satisfaction is our priority, and I'm here to ensure a seamless payment experience for you.",try see th accepted payment option
5,BILQZ,where to sign up to the company nmewsletter,SUBSCRIPTION,newsletter_subscription,"Thank you for your interest in signing up for our company newsletter! To subscribe, you can visit our website at {{Website URL}} and navigate to the newsletter section. There you will find a sign-up form where you can enter your email address and other required information. Once you submit the form, you will be successfully subscribed to our newsletter and receive regular updates directly in your inbox. If you require any further assistance or have any questions, please don't hesitate to let me know.",sign company nmewsletter
6,BCILPQZ,I'd like to see the withdrwaal fee how can i do it,CANCEL,check_cancellation_fee,"I'll do my best! To view the withdrawal fee, you can log in to your account and navigate to the ""Fee Schedule"" or ""Account Charges"" section. This will provide you with the details of the withdrawal fee and any associated charges.",id like see withdrwaal fee
7,BL,I want to speak with someone,CONTACT,contact_human_agent,"I see what you mean! I'm on the same page that you would like to speak with someone. Your request is important, and I'm here to help. Let me quickly connect you with a human representative who will be able to assist you further. Kindly stay on the line while I transfer you.",want speak someone
8,BIL,can you help me getting bill #85632?,INVOICE,get_invoice,"I'll take care of it! I completely understand your request to access the bill with the number #{{Invoice Number}}. Please allow me a moment to retrieve the bill for you. In the meantime, if you have any other questions or concerns, feel free to let me know. I'm here to assist you!",help get bill 85632
9,B,I don't know how to take a quick look at invoice #12588,INVOICE,check_invoice,"I've realized you're unsure about how to quickly access the details of invoice #{{Invoice Number}}. Allow me to guide you through the process. To take a quick look at your invoice, you can log in to your account on our website and navigate to the ""Billing"" or ""Invoice"" section. There, you should be able to find a list of your invoices, including invoice #{{Invoice Number}}. Clicking on the invoice will provide you with a detailed view of the charges, due date, and any other relevant information. If you encounter any difficulties during this process, please don't hesitate to reach out to our customer support team, who will be happy to assist you further.",dont know take quick look invoice 12588
